"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030055","GO:0030055","cell-substrate junction","28/238","432/19518",5.96003060741099e-13,1.15227258409946e-11,8.26039329799067e-12,"1803/3315/1213/5034/811/3313/308/1266/87/7534/7529/7531/3383/7184/1072/7532/5216/4869/3309/847/81/10487/10092/3312/9124/6181/5478/23224",28,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0043202","GO:0043202","lysosomal lumen","15/238","98/19518",9.37687436117627e-13,1.71744856720492e-11,1.2312017859273e-11,"3920/1508/5660/1509/3073/3074/10577/5476/2760/4758/2517/1520/3312/3320/2548",15,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0019774","GO:0019774","proteasome core complex, beta-subunit complex","7/238","11/19518",1.1620158829226e-11,2.02190763628533e-10,1.44946191711925e-10,"5699/5692/5689/5698/5694/5690/5691",7,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0070820","GO:0070820","tertiary granule","14/238","164/19518",1.43347253055198e-08,2.37546876491471e-07,1.70292225433995e-07,"3920/1509/2495/1476/8836/8987/226/1520/6709/388698/5269/2548/56954/2040",14,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1904724","GO:1904724","tertiary granule lumen","9/238","55/19518",2.0001917117929e-08,3.16393961683605e-07,2.26815997940152e-07,"1509/2495/1476/8836/226/1520/6709/388698/56954",9,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","20/238","415/19518",1.99196246534261e-07,3.01392581712707e-06,2.16061832625262e-06,"1508/6281/12/5660/1509/811/3956/59/308/1476/1992/1522/6277/3383/7184/1520/302/5269/3320/337",20,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0043292","GO:0043292","contractile fiber","15/238","243/19518",3.21831254267015e-07,4.66655318687172e-06,3.34535119567029e-06,"3315/59/7170/87/226/3856/6711/5687/2023/832/81/7168/9124/2280/23224",15,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0030017","GO:0030017","sarcomere","14/238","213/19518",3.75929278989425e-07,5.2329355635328e-06,3.75137848928395e-06,"3315/7170/87/226/3856/6711/5687/2023/832/81/7168/9124/2280/23224",14,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0015629","GO:0015629","actin cytoskeleton","21/238","489/19518",6.52162174337578e-07,8.72893987190297e-06,6.2575884744132e-06,"4637/5358/3183/59/7170/1266/87/226/9948/1072/6711/1398/6709/832/81/10487/7168/10092/25932/9124/2633",21,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0030016","GO:0030016","myofibril","14/238","233/19518",1.10643815277599e-06,1.42607584135572e-05,1.0223229715708e-05,"3315/7170/87/226/3856/6711/5687/2023/832/81/7168/9124/2280/23224",14,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0034663","GO:0034663","endoplasmic reticulum chaperone complex","4/238","11/19518",6.65179649393493e-06,8.26723278531913e-05,5.9266006355736e-05,"5034/7184/10130/3309",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","15/238","312/19518",7.18054948193336e-06,8.61665937832003e-05,6.17709701349621e-05,"5034/811/3956/1522/10961/2519/7184/11167/10130/8824/9601/30001/3309/5589/337",15,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0044754","GO:0044754","autolysosome","4/238","12/19518",9.8822213099031e-06,0.000114633767194876,8.217847194551e-05,"3920/2495/2512/2548",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0072562","GO:0072562","blood microparticle","10/238","144/19518",1.10834881294805e-05,0.000124421092550297,8.91947941150045e-05,"12/1192/308/7534/5216/3311/23549/3312/2040/337",10,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005767","GO:0005767","secondary lysosome","4/238","18/19518",5.76699500044993e-05,0.00062716070629893,0.000449597965495603,"3920/2495/2512/2548",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0034399","GO:0034399","nuclear periphery","9/238","147/19518",8.19963967146434e-05,0.000864689274445331,0.000619877066072424,"6281/4000/3856/1072/5687/302/3692/3875/25932",9,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0035580","GO:0035580","specific granule lumen","6/238","62/19518",0.000107247252711742,0.00109770717481431,0.000786922566336934,"1509/4758/8836/1522/6709/56954",6,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0071682","GO:0071682","endocytic vesicle lumen","4/238","23/19518",0.000159077518337499,0.00158168503946999,0.0011338758449921,"6288/811/7184/3320",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016363","GO:0016363","nuclear matrix","8/238","127/19518",0.00016750879565215,0.00161925169130411,0.00116080656636139,"6281/4000/3856/1072/5687/302/3875/25932",8,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0030864","GO:0030864","cortical actin cytoskeleton","6/238","73/19518",0.000265670428672939,0.00249873808589683,0.00179129136829265,"87/9948/6711/6709/81/10487",6,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0030863","GO:0030863","cortical cytoskeleton","7/238","104/19518",0.000285831112103954,0.00261761123716252,0.00187650896312014,"87/9948/6711/6709/832/81/10487",7,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031674","GO:0031674","I band","8/238","141/19518",0.000341999469920347,0.00304050123175537,0.00217966966704786,"3315/87/226/3856/81/9124/2280/23224",8,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005777","GO:0005777","peroxisome","8/238","143/19518",0.000376001672379488,0.00304050123175537,0.00217966966704786,"3155/847/7086/25824/1891/10247/2180/2168",8,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0042579","GO:0042579","microbody","8/238","143/19518",0.000376001672379488,0.00304050123175537,0.00217966966704786,"3155/847/7086/25824/1891/10247/2180/2168",8,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0032432","GO:0032432","actin filament bundle","6/238","78/19518",0.000381092968511951,0.00304050123175537,0.00217966966704786,"5358/59/7170/87/7168/9124",6,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005782","GO:0005782","peroxisomal matrix","5/238","51/19518",0.000384431190221944,0.00304050123175537,0.00217966966704786,"3155/847/25824/1891/2168",5,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031907","GO:0031907","microbody lumen","5/238","51/19518",0.000384431190221944,0.00304050123175537,0.00217966966704786,"3155/847/25824/1891/2168",5,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0097524","GO:0097524","sperm plasma membrane","3/238","14/19518",0.000590040784249182,0.00456298206486034,0.00327110329513581,"3329/7184/3320",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0001533","GO:0001533","cornified envelope","5/238","59/19518",0.000757097524966266,0.00572760736278827,0.00410599801869577,"3315/3849/3858/302/388698",5,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","3/238","16/19518",0.000891539515963593,0.00657258263152022,0.00471174253983754,"8801/2271/1738",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
