"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1CM"
-1.46053934,15.576472045,-50.7953679177889,1.90069273176016e-10,3.45071304374187e-08,15.0200675197054,"BHMT2_HUMAN",28,57.2271979057109,2.71127455713269e-11,5.0099642471472e-09,1.46053934,"Up in D8BM",8.30016537339864,"BHMT2","BHMT2_HUMAN",-1.46053934
-2.2160699375,13.81582105125,-68.7581469962188,2.16914965939895e-11,9.29096955163496e-09,17.1470748865647,"SCD_HUMAN",11,57.1639399548976,2.7341126511896e-11,5.0099642471472e-09,2.2160699375,"Up in D8BM",8.30016537339864,"SCD","SCD_HUMAN",-2.2160699375
-0.857838155000001,13.475200175,-37.7759070368492,1.58275313771862e-09,1.21293788366406e-07,12.8044815453663,"MYLK_HUMAN",99,56.7956270400325,2.87148736675134e-11,5.14973766262703e-09,0.857838155000001,"Up in D8BM",8.28821489417733,"MYLK","MYLK_HUMAN",-0.857838155000001
-1.4011931375,11.91023492875,-55.9788416769819,9.47399044095729e-11,2.15827744396835e-08,15.7212830194388,"IGSF8_HUMAN",18,56.252138654109,3.08870173442347e-11,5.42388894155322e-09,1.4011931375,"Up in D8BM",8.26568921157543,"IGSF8","IGSF8_HUMAN",-1.4011931375
-3.4843275525,12.61952340625,-58.5148886879885,6.89622500965548e-11,1.70965531195253e-08,16.0356597175968,"TSK_HUMAN",11,55.996677770718,3.19717996084143e-11,5.49980201835356e-09,3.4843275525,"Up in D8BM",8.25965294393924,"TSKU","TSK_HUMAN",-3.4843275525
-2.5167107575,16.68253827125,-51.4950526910906,1.72324698202331e-10,3.22783306921655e-08,15.1197057132711,"CLUS_HUMAN",30,54.7602960285525,3.78701520744421e-11,6.38415023670945e-09,2.5167107575,"Up in D8BM",8.19489690138694,"CLU","CLUS_HUMAN",-2.5167107575
-0.895675422500005,14.79502379875,-39.328937147385,1.18657185418354e-09,1.01026405645586e-07,13.1115010360286,"THRB_HUMAN",47,53.6001371137935,4.45464032944226e-11,7.1908158263435e-09,0.895675422500005,"Up in D8BM",8.14322183440439,"F2","THRB_HUMAN",-0.895675422500005
-3.02143835875,10.436995863125,-51.9110285451909,1.62672505526405e-10,3.1580081083028e-08,15.1781688705807,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",20,53.5928969054575,4.45920527171745e-11,7.1908158263435e-09,3.02143835875,"Up in D8BM",8.14322183440439,"AMY1B;AMY1C;AMY1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",-3.02143835875
2.0890917775,13.52232789875,50.0509881644149,2.11271335755436e-10,3.56161217816514e-08,14.9122311551491,"PLIN2_HUMAN",27,-53.494998412115,4.52145258982329e-11,7.1908158263435e-09,-2.0890917775,"Up in D1CM",8.14322183440439,"PLIN2","PLIN2_HUMAN",2.0890917775
-1.97511077,12.6214412475,-49.5124079409832,2.28295329976167e-10,3.66187044704475e-08,14.8330004897174,"FA10_HUMAN",25,52.7310832998792,5.04239645616691e-11,7.87080735722794e-09,1.97511077,"Up in D8BM",8.10398071709389,"F10","FA10_HUMAN",-1.97511077
-1.58910393750001,15.54804408625,-47.3668298471353,3.13539520112065e-10,4.33249936889278e-08,14.5068460328845,"APOA1_HUMAN",30,52.4279793096964,5.26765617171938e-11,8.07292252207685e-09,1.58910393750001,"Up in D8BM",8.09296921553293,"APOA1","APOA1_HUMAN",-1.58910393750001
-1.88966155,12.89430201,-57.4466812701785,7.8698249197314e-11,1.89527869281188e-08,15.9053702542493,"CAVN1_HUMAN",13,52.1787698263358,5.46141201103809e-11,8.22040032875715e-09,1.88966155,"Up in D8BM",8.08510703205403,"CAVIN1","CAVN1_HUMAN",-1.88966155
-1.8768317695,10.33495819525,-46.0689687885097,3.82551964540346e-10,4.96081616786242e-08,14.3009578321037,"PTPRF_HUMAN",72,51.5857320567707,5.95577086758431e-11,8.71660720541439e-09,1.8768317695,"Up in D8BM",8.05965252409172,"PTPRF","PTPRF_HUMAN",-1.8768317695
1.010106805,12.1602462525,38.4783793558386,1.38739157631862e-09,1.11374510445616e-07,12.9450684976938,"SPTN2_HUMAN",127,-51.4738684548514,6.0545917154809e-11,8.71660720541439e-09,-1.010106805,"Up in D1CM",8.05965252409172,"SPTBN2","SPTN2_HUMAN",1.010106805
-1.47247839,17.9452583775,-44.5344324935611,4.87552222807615e-10,5.87082526577912e-08,14.0485875410094,"GATM_HUMAN",48,51.4216955792077,6.10131480744393e-11,8.71660720541439e-09,1.47247839,"Up in D8BM",8.05965252409172,"GATM","GATM_HUMAN",-1.47247839
-1.49689412,14.643636345,-44.9202836380381,4.5835366559132e-10,5.59922180763658e-08,14.112987003192,"NHRF3_HUMAN",36,50.6804446909053,6.81120576638682e-11,9.53644781227625e-09,1.49689412,"Up in D8BM",8.02061336353566,"PDZK1","NHRF3_HUMAN",-1.49689412
