"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.17680907325,10.617845893375,-41.5224078261182,7.76893006734428e-10,3.01391973970015e-07,13.5904122264148,"TRFL_HUMAN",45,-44.3256030627947,1.48770081769801e-10,5.84651079964575e-08,-2.17680907325,"Up in D5B",7.23310324375511,"LTF","TRFL_HUMAN"
0.6780123725,13.52251648875,32.3879504811389,4.60438845392532e-09,8.37265250867417e-07,11.8343368640958,"ITAV_HUMAN",56,44.1791569772951,1.52596082088274e-10,5.84651079964575e-08,0.6780123725,"Up in D8C",7.23310324375511,"ITGAV","ITAV_HUMAN"
-3.827108855,16.375285865,-40.9239291534902,8.62120948706258e-10,3.15948585941089e-07,13.4910143598323,"FIBA_HUMAN",58,-42.794339411834,1.94829758120529e-10,7.14008709216494e-08,-3.827108855,"Up in D5B",7.14629649082663,"FGA","FIBA_HUMAN"
2.18723344875,10.400536060625,41.4502372602062,7.86644136592756e-10,3.01391973970015e-07,13.5785259262166,"TAGL_HUMAN",17,42.2714443698167,2.14097269911627e-10,7.51927453368792e-08,2.18723344875,"Up in D8C",7.12382405850604,"TAGLN","TAGL_HUMAN"
-0.969209195000001,14.95222354,-34.694974259649,2.81403098225629e-09,6.8757816308604e-07,12.331405309676,"CO4B_HUMAN",87,-41.8975413358067,2.29195768296763e-10,7.59421865238802e-08,-0.969209195000001,"Up in D5B",7.11951690282981,"C4B","CO4B_HUMAN"
-0.701464649999998,16.546611785,-30.8778039344669,6.47832104063832e-09,9.81878440076671e-07,11.4853481751523,"CO3_HUMAN",118,-41.7785461024356,2.3425042705195e-10,7.59421865238802e-08,-0.701464649999998,"Up in D5B",7.11951690282981,"C3","CO3_HUMAN"
-2.6231157755,11.05606758475,-39.5781297927522,1.09564277245349e-09,3.84798872042102e-07,13.2604004765387,"CO6A1_HUMAN",24,-41.226273335294,2.59419676595439e-10,8.0986979778628e-08,-2.6231157755,"Up in D5B",7.09158479673635,"COL6A1","CO6A1_HUMAN"
1.39819312,12.56631124,37.8053269921892,1.52156717475071e-09,4.93280373691298e-07,12.9407122079966,"PEG10_HUMAN",23,39.8280225320052,3.37992289510388e-10,1.01747750295824e-07,1.39819312,"Up in D8C",6.99247518450973,"PEG10","PEG10_HUMAN"
1.71931004525,10.745243429875,37.4313632294425,1.63388810610923e-09,5.10075660977581e-07,12.8708332151009,"FBLI1_HUMAN",20,38.7316674017284,4.18634022529596e-10,1.19366170826343e-07,1.71931004525,"Up in D8C",6.92311873773873,"FBLIM1","FBLI1_HUMAN"
-1.0632703325,13.65205871875,-35.4416705221092,2.41613091217671e-09,6.58175589901727e-07,12.4837105836798,"APOA5_HUMAN",27,-38.6573646625759,4.24841039837501e-10,1.19366170826343e-07,-1.0632703325,"Up in D5B",6.92311873773873,"APOA5","APOA5_HUMAN"
1.068790911,10.141183137,34.357150785097,3.0181981295745e-09,6.8757816308604e-07,12.2611697465192,"FLRT3_HUMAN",26,37.1400326853217,5.77415292519796e-10,1.57001080666108e-07,1.068790911,"Up in D8C",6.80409735825502,"FLRT3","FLRT3_HUMAN"
0.681562182500006,14.06092202625,31.429431151815,5.70796222448662e-09,9.45242202242842e-07,11.6151310073682,"ACOT9_HUMAN",29,36.9303074022774,6.03018334585091e-10,1.58838798194304e-07,0.681562182500006,"Up in D8C",6.79904340755349,"ACOT9","ACOT9_HUMAN"
1.20841932,13.440692425,43.6744191919953,5.40736884490339e-10,2.45147335971861e-07,13.9327386836898,"CNN2_HUMAN",12,36.3756617684472,6.77136709909583e-10,1.72957131146299e-07,1.20841932,"Up in D8C",6.76206152700816,"CNN2","CNN2_HUMAN"
-3.5622665875,17.11042296875,-34.5409176479687,2.90512074775906e-09,6.8757816308604e-07,12.2994803519193,"FIBG_HUMAN",40,-35.991677176622,7.34476882749235e-10,1.82085460138038e-07,-3.5622665875,"Up in D5B",6.73972473204103,"FGG","FIBG_HUMAN"
1.1625947925,16.19707202875,32.5856654827671,4.4082338169064e-09,8.25711174282312e-07,11.8785892129451,"TPM4_HUMAN",30,35.2999626694679,8.52161293013708e-10,2.05224786823216e-07,1.1625947925,"Up in D8C",6.68777018678419,"TPM4","TPM4_HUMAN"
1.2004594825,10.75951933875,33.3732294766431,3.71585730105338e-09,7.45737171204261e-07,12.051709699267,"SCMC1_HUMAN",22,35.0068939898712,9.08335055918028e-10,2.10156324758541e-07,1.2004594825,"Up in D8C",6.67745753515462,"SLC25A24","SCMC1_HUMAN"
-1.219963315,14.6381613025,-35.4324747241634,2.42062442602367e-09,6.58175589901727e-07,12.4818590302906,"GNMT_HUMAN",16,-34.936199393784,9.22503739004156e-10,2.10156324758541e-07,-1.219963315,"Up in D5B",6.67745753515462,"GNMT","GNMT_HUMAN"
1.57615566,16.52253437,34.4709506468032,2.94759535572418e-09,6.8757816308604e-07,12.2849235214751,"TPM1_HUMAN",16,34.6808743763257,9.75794695689358e-10,2.13221779228983e-07,1.57615566,"Up in D8C",6.67116843700061,"TPM1","TPM1_HUMAN"
1.20812702,12.1015801425,34.3906021950337,2.99724668492862e-09,6.8757816308604e-07,12.268162130378,"SFXN3_HUMAN",17,34.4720965556528,1.02196157483339e-09,2.13221779228983e-07,1.20812702,"Up in D8C",6.67116843700061,"SFXN3","SFXN3_HUMAN"
1.894108773,9.10869789175,33.0077026280053,4.0205170506238e-09,7.70203141357e-07,11.971979598815,"BICC1_HUMAN",24,34.4635839742495,1.02389562267318e-09,2.13221779228983e-07,1.894108773,"Up in D8C",6.67116843700061,"BICC1","BICC1_HUMAN"
-1.308654545,13.8518356075,-33.2377321905603,3.82561893028076e-09,7.49910278217129e-07,12.0222780899134,"LG3BP_HUMAN",20,-34.3968239968265,1.03920752029032e-09,2.13221779228983e-07,-1.308654545,"Up in D5B",6.67116843700061,"LGALS3BP","LG3BP_HUMAN"
-3.65031004075,9.589155674625,-34.1766380253846,3.13417536839311e-09,6.95209583689092e-07,12.2232928785471,"DMBT1_HUMAN",10,-34.2976186698919,1.06244094526246e-09,2.13221779228983e-07,-3.65031004075,"Up in D5B",6.67116843700061,"DMBT1","DMBT1_HUMAN"
1.23700309,12.109990955,34.0307763807705,3.23160308915764e-09,6.98440575346403e-07,12.192508062324,"PRS23_HUMAN",17,34.1801886567692,1.09070400472703e-09,2.1380335013591e-07,1.23700309,"Up in D8C",6.66998549400965,"PRSS23","PRS23_HUMAN"
-3.5209767825,16.81489384125,-32.2303164503174,4.76791221279345e-09,8.37265250867417e-07,11.7988229395866,"FINC_HUMAN",161,-33.6435075060757,1.23116052365617e-09,2.29752532100152e-07,-3.5209767825,"Up in D5B",6.63873969356072,"FN1","FINC_HUMAN"
-0.908947705000001,13.3476098775,-30.27477582369,7.45910925249049e-09,1.08401434291797e-06,11.3403084385539,"MA1A1_HUMAN",31,-33.5987502875855,1.24376795816083e-09,2.29752532100152e-07,-0.908947705000001,"Up in D5B",6.63873969356072,"MAN1A1","MA1A1_HUMAN"
1.77830720025,9.941758752375,32.0668203441731,4.94453807755157e-09,8.50561458279227e-07,11.7617682681135,"DREB_HUMAN",25,33.5633607624554,1.25383989519599e-09,2.29752532100152e-07,1.77830720025,"Up in D8C",6.63873969356072,"DBN1","DREB_HUMAN"
-0.847700597499999,14.32655596875,-29.7197431330566,8.5135533979209e-09,1.13905939033453e-06,11.2037892213055,"AK1D1_HUMAN",30,-33.1134052936265,1.39026567557191e-09,2.49330837859482e-07,-0.847700597499999,"Up in D5B",6.60322400355018,"AKR1D1","AK1D1_HUMAN"
1.1597020625,13.80881440625,36.2921062568047,2.03880200953234e-09,5.9258834959821e-07,12.6524142788556,"CAVN1_HUMAN",13,32.8838978380524,1.46625522834124e-09,2.53671784403911e-07,1.1597020625,"Up in D8C",6.59572783612534,"CAVIN1","CAVN1_HUMAN"
-7.16094791925,10.056749522875,-32.2785052741972,4.71723166469949e-09,8.37265250867417e-07,11.809701584311,"CAPSD_HBVD3",7,-32.8593382614191,1.47466098419642e-09,2.53671784403911e-07,-7.16094791925,"Up in D5B",6.59572783612534,"C","CAPSD_HBVD3"
-3.60850047999999,16.0459542275,-31.241605396276,5.95791415999489e-09,9.65754970280709e-07,11.5712452359539,"FIBB_HUMAN",43,-32.5149707585553,1.59844238196797e-09,2.64020241698935e-07,-3.60850047999999,"Up in D5B",6.57836277570154,"FGB","FIBB_HUMAN"
1.1034481525,11.24358046125,29.3065728427387,9.40910091782265e-09,1.20165623691405e-06,11.1002199544223,"LIMC1_HUMAN",55,32.5085751704751,1.6008496686524e-09,2.64020241698935e-07,1.1034481525,"Up in D8C",6.57836277570154,"LIMCH1","LIMC1_HUMAN"
0.622833254999996,10.8225109575,28.7995855507011,1.06581157797196e-08,1.32113614569495e-06,10.9707962001308,"GLSK_HUMAN",25,32.3811607859894,1.64967170693011e-09,2.64020241698935e-07,0.622833254999996,"Up in D8C",6.57836277570154,"GLS","GLSK_HUMAN"
-1.05380749675,10.149678349125,-29.4734849665532,9.03500048393892e-09,1.18459090769924e-06,11.1422627945002,"PIGR_HUMAN",36,-32.3319245019005,1.66898640602242e-09,2.64020241698935e-07,-1.05380749675,"Up in D5B",6.57836277570154,"PIGR","PIGR_HUMAN"
-1.2254715,12.3320059775,-30.8479095679325,6.5233352288876e-09,9.81878440076671e-07,11.47823676724,"OAT_HUMAN",22,-32.2755051896823,1.69143350951981e-09,2.64020241698935e-07,-1.2254715,"Up in D5B",6.57836277570154,"OAT","OAT_HUMAN"
1.2528657925,12.36381721375,30.8961338780155,6.45089512505695e-09,9.81878440076671e-07,11.4897045730048,"FHL2_HUMAN",21,32.1548417283884,1.74059431455796e-09,2.66001038576534e-07,1.2528657925,"Up in D8C",6.57511666770285,"FHL2","FHL2_HUMAN"
0.638546945000002,11.7610919475,26.0799870795718,2.16314214117418e-08,2.3741637733687e-06,10.228907432257,"RIGI_HUMAN",49,32.0910402467542,1.76723907465724e-09,2.66001038576534e-07,0.638546945000002,"Up in D8C",6.57511666770285,"RIGI","RIGI_HUMAN"
