"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2B_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
0.862696170000001,15.3735024925,42.3126512233396,8.8352586986846e-10,7.90653350780418e-08,13.4481698031312,"ESYT1_HUMAN",62,53.1702333333148,6.09648803076087e-11,8.02926525176302e-09,0.862696170000001,"Up in D8CM",8.09532419465962,"ESYT1","ESYT1_HUMAN"
-1.608734371,9.9196311245,-48.9754765932388,3.14568291849149e-10,3.90557288275588e-08,14.5227044051868,"IREB2_HUMAN",35,-52.7758856027656,6.44569370391823e-11,8.35857726620412e-09,-1.608734371,"Up in D2B",8.07786763859205,"IREB2","IREB2_HUMAN"
1.26022744,11.4246312375,47.1364066466945,4.12230911918968e-10,4.63292580875331e-08,14.2440698981418,"ARVC_HUMAN",38,52.4412879516638,6.75983226699466e-11,8.6331251785603e-09,1.26022744,"Up in D8CM",8.06383196186148,"ARVCF","ARVC_HUMAN"
1.3120679825,17.18083143375,48.8631901279845,3.19711150682353e-10,3.90557288275588e-08,14.5060509926766,"PDLI1_HUMAN",26,52.3158839489118,6.88200935659493e-11,8.65797863682667e-09,1.3120679825,"Up in D8CM",8.06258349012366,"PDLIM1","PDLI1_HUMAN"
-1.1315665225,12.49508047125,-52.2182600784986,1.99969716711165e-10,2.95709603887441e-08,14.9847642138397,"HMOX1_HUMAN",18,-51.8961999792964,7.30946614464022e-11,9.0605132548783e-09,-1.1315665225,"Up in D2B",8.04284719995587,"HMOX1","HMOX1_HUMAN"
1.323845625,12.2141762975,49.3271210889462,2.99062898805494e-10,3.90557288275588e-08,14.5745639197584,"FHL2_HUMAN",21,51.1725058811124,8.1191758068402e-11,9.91833809795015e-09,1.323845625,"Up in D8CM",8.00356109149042,"FHL2","FHL2_HUMAN"
1.9282200325,13.41719067125,53.2208445297824,1.74819536825528e-10,2.91231240025704e-08,15.1206199526199,"CAVN1_HUMAN",13,51.0162979835673,8.30700553420042e-11,1.00028213782536e-08,1.9282200325,"Up in D8CM",7.99987748638136,"CAVIN1","CAVN1_HUMAN"
0.832221985,13.704494715,49.3333917081813,2.98794426235232e-10,3.90557288275588e-08,14.5754846786073,"GNAS1_HUMAN",20,50.6670176505206,8.74507550614827e-11,1.03820058368062e-08,0.832221985,"Up in D8CM",7.98371873129497,"GNAS","GNAS1_HUMAN"
-1.301776885,11.998202085,-48.4624849488104,3.38861901699975e-10,4.02291122454801e-08,14.4462476899135,"PDCD4_HUMAN",21,-50.2747996873338,9.26850136585941e-11,1.07650934196835e-08,-1.301776885,"Up in D2B",7.96798219700845,"PDCD4","PDCD4_HUMAN"
1.1550123725,13.28740680125,45.2415289392002,5.50800009269516e-10,5.78570120983027e-08,13.9432365583619,"MA2B1_HUMAN",34,50.2352728127706,9.32319159611928e-11,1.07650934196835e-08,1.1550123725,"Up in D8CM",7.96798219700845,"MAN2B1","MA2B1_HUMAN"
