"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D1CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-0.0574631700000019,12.7774701125,-1.13296854199176,0.293322791507583,0.962552091646452,-5.3527000254609,"WASC3_HUMAN",9,-1.03377649691724,0.332225158409983,0.962671346251211,-0.0574631700000019,"Non-significant",0.0165219546938003,"WASHC3","WASC3_HUMAN"
0.0191516900000011,13.3232831975,0.86658017064878,0.413946745330105,0.962552091646452,-5.59971646424212,"SF3A1_HUMAN",36,1.03342860728971,0.332377989067521,0.962671346251211,0.0191516900000011,"Non-significant",0.0165219546938003,"SF3A1","SF3A1_HUMAN"
-0.123208045749999,8.707083463625,-1.08928035056869,0.310928920700882,0.962552091646452,-5.39646924532218,"LRC8C_HUMAN",5,-1.03286115021236,0.332627394463909,0.962671346251211,-0.123208045749999,"Non-significant",0.0165219546938003,"LRRC8C","LRC8C_HUMAN"
-0.0495703224999993,11.00676500875,-1.00404793664963,0.347703209767597,0.962552091646452,-5.47833308271176,"PROC_HUMAN",19,-1.03274126241699,0.33268010541013,0.962671346251211,-0.0495703224999993,"Non-significant",0.0165219546938003,"PROC","PROC_HUMAN"
0.116775989500001,8.6856815815,0.996788934901255,0.350985746940807,0.962552091646452,-5.48508040750612,"ARI4A_HUMAN",19,1.03262937609758,0.332729304199117,0.962671346251211,0.116775989500001,"Non-significant",0.0165219546938003,"ARID4A","ARI4A_HUMAN"
-0.0435004224999993,14.24815750125,-1.13117757939033,0.294028256374196,0.962552091646452,-5.35451742022686,"SNX3_HUMAN",11,-1.03247151814598,0.332798727286038,0.962671346251211,-0.0435004224999993,"Non-significant",0.0165219546938003,"SNX3","SNX3_HUMAN"
0.10490131375,8.743707180125,0.995078625396954,0.351762623842179,0.962552091646452,-5.4866648772023,"LATS1_HUMAN",21,1.03218763302643,0.332923603115317,0.962671346251211,0.10490131375,"Non-significant",0.0165219546938003,"LATS1","LATS1_HUMAN"
0.0171129724999997,11.33701145625,0.866471353144622,0.414002611093575,0.962552091646452,-5.59980700733742,"PUM1_HUMAN",31,1.03184251631879,0.333075462516197,0.962671346251211,0.0171129724999997,"Non-significant",0.0165219546938003,"PUM1","PUM1_HUMAN"
0.247476815000002,12.064863565,1.03839107254334,0.332495241081293,0.962552091646452,-5.44592501711181,"S39A7_HUMAN",3,1.03166224059148,0.333154809389546,0.962671346251211,0.247476815000002,"Non-significant",0.0165219546938003,"SLC39A7","S39A7_HUMAN"
0.0986840750000031,12.90825212,1.43614830439734,0.192695768232912,0.962552091646452,-5.01981583640693,"VKOR1_HUMAN",3,1.03063459651504,0.333607398276702,0.962671346251211,0.0986840750000031,"Non-significant",0.0165219546938003,"VKORC1","VKOR1_HUMAN"
