"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.52808261,14.20170176,53.7078490790414,1.24836359127755e-10,2.56645285631181e-08,15.4445997348048,"CAN2_HUMAN",37,62.8304145387196,1.02044981301763e-11,2.90383726071789e-09,1.52808261,"Up in D8C",8.53702772638539,"CAPN2","CAN2_HUMAN"
-1.21902513,10.6968128675,-51.036452164915,1.80000675573743e-10,3.20666890885883e-08,15.0777771411713,"DDX27_HUMAN",35,-62.7264960600973,1.03351664279911e-11,2.90383726071789e-09,-1.21902513,"Up in D1C",8.53702772638539,"DDX27","DDX27_HUMAN"
-1.68539476,11.4262707225,-58.0168001492025,7.17571666250815e-11,2.08565916373383e-08,15.9906923245577,"PACN3_HUMAN",23,-61.9055831117959,1.14364856266516e-11,3.1096173337757e-09,-1.68539476,"Up in D1C",8.50729305150525,"PACSIN3","PACN3_HUMAN"
1.7886474175,15.67110359625,54.7168934284887,1.09231573259335e-10,2.42292876579721e-08,15.5773134047259,"DPYL2_HUMAN",35,61.6138001527894,1.18594098181016e-11,3.12384266739932e-09,1.7886474175,"Up in D8C",8.50531084752232,"DPYSL2","DPYL2_HUMAN"
1.41882038,13.1940886975,51.569602160243,1.67071947065568e-10,3.12944320403482e-08,15.1528484509668,"MA2B1_HUMAN",34,60.1172841831447,1.43263518552995e-11,3.5375204293307e-09,1.41882038,"Up in D8C",8.45130104339134,"MAN2B1","MA2B1_HUMAN"
2.856093165,12.90948069,56.6580512165238,8.50587357240748e-11,2.15803768803306e-08,15.8241840420189,"HTRA1_HUMAN",27,59.873282087409,1.47812099421712e-11,3.5375204293307e-09,2.856093165,"Up in D8C",8.45130104339134,"HTRA1","HTRA1_HUMAN"
1.14630461,18.8768494125,45.6973931371717,3.97516305963344e-10,4.84593589992128e-08,14.2693699307303,"K1C18_HUMAN",62,59.8687110166157,1.47898854280982e-11,3.5375204293307e-09,1.14630461,"Up in D8C",8.45130104339134,"KRT18","K1C18_HUMAN"
1.8581712225,12.25892984875,54.9975911712069,1.05294303437992e-10,2.39871806399685e-08,15.6136883498962,"CAP2_HUMAN",27,59.7028289208691,1.51086410553927e-11,3.5375204293307e-09,1.8581712225,"Up in D8C",8.45130104339134,"CAP2","CAP2_HUMAN"
2.371660945,14.4386318925,60.2079849689388,5.49946529055922e-11,1.85419971736495e-08,16.2489327328781,"FBX2_HUMAN",16,59.369262314193,1.57733905409436e-11,3.59334888836793e-09,2.371660945,"Up in D8C",8.44450061387328,"FBXO2","FBX2_HUMAN"
1.61091566,10.966774465,50.4264655786304,1.96211855876216e-10,3.28250410279059e-08,14.9907017511398,"MILK2_HUMAN",50,58.8155809997839,1.69510470525402e-11,3.6230139031645e-09,1.61091566,"Up in D8C",8.44092999937533,"MICALL2","MILK2_HUMAN"
1.9788472675,14.01262032875,57.0262915464657,8.11952636668454e-11,2.1387339920245e-08,15.8698090148836,"QORX_HUMAN",20,58.7375654646591,1.71248326479343e-11,3.6230139031645e-09,1.9788472675,"Up in D8C",8.44092999937533,"TP53I3","QORX_HUMAN"
1.67981339,14.9715809825,51.2924717864418,1.73655253302901e-10,3.18204376106555e-08,15.1139458134353,"DPP4_HUMAN",42,58.707167747134,1.71930900612861e-11,3.6230139031645e-09,1.67981339,"Up in D8C",8.44092999937533,"DPP4","DPP4_HUMAN"
1.52215123,11.980072615,53.1638562854381,1.34294345521045e-10,2.69515961523069e-08,15.3717557241155,"KNG1_HUMAN",26,58.4118626070943,1.78724306029241e-11,3.67431018419628e-09,1.52215123,"Up in D8C",8.43482418346883,"KNG1","KNG1_HUMAN"
